course-full,course-code,course-title,course-href,level
GY202 Introduction to Global Development,GY202,Introduction to Global Development,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY202.htm,Undergraduate
EC325 Public Economics,EC325,Public Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC325.htm,Undergraduate
"AC310 Management Accounting, Financial Management and Organisational Control",AC310,"Management Accounting, Financial Management and Organisational Control",http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC310.htm,Undergraduate
GV245 Democracy and Democratisation,GV245,Democracy and Democratisation,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV245.htm,Undergraduate
ST312 Applied Statistics Project,ST312,Applied Statistics Project,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST312.htm,Undergraduate
"ST202 Probability, Distribution Theory and Inference",ST202,"Probability, Distribution Theory and Inference",http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST202.htm,Undergraduate
GV314 Empirical Research in Government,GV314,Empirical Research in Government,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV314.htm,Undergraduate
IR304 The Politics of International Economic Relations,IR304,The Politics of International Economic Relations,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR304.htm,Undergraduate
AN240 Investigating the Philippines - New Approaches and Ethnographic Contexts,AN240,Investigating the Philippines - New Approaches and Ethnographic Contexts,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN240.htm,Undergraduate
HY300 Dissertation,HY300,Dissertation,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY300.htm,Undergraduate
MA316 Graph Theory,MA316,Graph Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA316.htm,Undergraduate
LL299 Full- unit Dissertation on an approved legal topic,LL299,Full- unit Dissertation on an approved legal topic,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL299.htm,Undergraduate
GV225 Public Choice and Politics,GV225,Public Choice and Politics,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV225.htm,Undergraduate
FM212 Principles of Finance,FM212,Principles of Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM212.htm,Undergraduate
LL278 Public International Law,LL278,Public International Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL278.htm,Undergraduate
"IR306 Sovereignty, Rights and Justice: Issues in International Political Theory",IR306,"Sovereignty, Rights and Justice: Issues in International Political Theory",http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR306.htm,Undergraduate
IR202.1 Foreign Policy Analysis 1,IR202,1 Foreign Policy Analysis 1,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR202.1.htm,Undergraduate
SO224 The Sociology of Race and Ethnicity,SO224,The Sociology of Race and Ethnicity,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO224.htm,Undergraduate
LN270 Society and Language: Linguistics for Social Scientists,LN270,Society and Language: Linguistics for Social Scientists,http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN270.htm,Undergraduate
HY116 International History since 1890,HY116,International History since 1890,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY116.htm,Undergraduate
PH203 Philosophy of the Social Sciences,PH203,Philosophy of the Social Sciences,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH203.htm,Undergraduate
LN240 Mandarin Language and Society 4 (Proficiency),LN240,Mandarin Language and Society 4 (Proficiency),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN240.htm,Undergraduate
SA201 Research Methods for Social Policy,SA201,Research Methods for Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA201.htm,Undergraduate
LL251 Intellectual Property Law,LL251,Intellectual Property Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL251.htm,Undergraduate
PH222 Philosophy and Public Policy,PH222,Philosophy and Public Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH222.htm,Undergraduate
MG306 Managing Diversity in Organisations,MG306,Managing Diversity in Organisations,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG306.htm,Undergraduate
"EH101 The Internationalisation of Economic Growth, 1870 to the present day",EH101,"The Internationalisation of Economic Growth, 1870 to the present day",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH101.htm,Undergraduate
PH229 Global Justice,PH229,Global Justice,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH229.htm,Undergraduate
SO211 Sociology of Health and Medicine,SO211,Sociology of Health and Medicine,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO211.htm,Undergraduate
"HY203 The Arab-Israeli Conflict: Nationalism, Territory, Religion",HY203,"The Arab-Israeli Conflict: Nationalism, Territory, Religion",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY203.htm,Undergraduate
AN101 Ethnography and Theory: Selected Texts,AN101,Ethnography and Theory: Selected Texts,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN101.htm,Undergraduate
GV390 Government Dissertation Option,GV390,Government Dissertation Option,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV390.htm,Undergraduate
MG313 Practical Optimisation Modelling,MG313,Practical Optimisation Modelling,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG313.htm,Undergraduate
MG101 Core Business Disciplines I: Finance and Operations Management,MG101,Core Business Disciplines I: Finance and Operations Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG101.htm,Undergraduate
GY220 Environment: Science and Society,GY220,Environment: Science and Society,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY220.htm,Undergraduate
GY306 Geographies of Race,GY306,Geographies of Race,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY306.htm,Undergraduate
LN110 German Language and Society 3 (advanced),LN110,German Language and Society 3 (advanced),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN110.htm,Undergraduate
LL300 Competition Law,LL300,Competition Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL300.htm,Undergraduate
AN300 Advanced Theory of Social Anthropology,AN300,Advanced Theory of Social Anthropology,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN300.htm,Undergraduate
MA314 Algorithms in Java,MA314,Algorithms in Java,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA314.htm,Undergraduate
GV313 Politics of Trade in Comparative Perspective,GV313,Politics of Trade in Comparative Perspective,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV313.htm,Undergraduate
"HY235 Modernity and the State in East Asia: China, Japan and Korea since 1840",HY235,"Modernity and the State in East Asia: China, Japan and Korea since 1840",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY235.htm,Undergraduate
ST308 Bayesian Inference,ST308,Bayesian Inference,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST308.htm,Undergraduate
"HY221 The History of Russia, 1682-1825",HY221,"The History of Russia, 1682-1825",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY221.htm,Undergraduate
AN268 The Anthropology of Schooling,AN268,The Anthropology of Schooling,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN268.htm,Undergraduate
FM320 Quantitative Finance,FM320,Quantitative Finance,http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM320.htm,Undergraduate
GV302 Key Themes in the History of Political Thought,GV302,Key Themes in the History of Political Thought,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV302.htm,Undergraduate
MG309 International Human Resource Management,MG309,International Human Resource Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG309.htm,Undergraduate
EH238 The Industrial Revolution,EH238,The Industrial Revolution,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH238.htm,Undergraduate
MG102 Organisational Behaviour,MG102,Organisational Behaviour,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG102.htm,Undergraduate
MA207 Further Quantitative Methods (Mathematics),MA207,Further Quantitative Methods (Mathematics),http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA207.htm,Undergraduate
MG301 Strategy,MG301,Strategy,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG301.htm,Undergraduate
SA222 Implementing Social Policy: From Principles to Practice,SA222,Implementing Social Policy: From Principles to Practice,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA222.htm,Undergraduate
MA203 Real Analysis,MA203,Real Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA203.htm,Undergraduate
SA204 Education Policy,SA204,Education Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA204.htm,Undergraduate
ST227 Survival Models,ST227,Survival Models,http://www.lse.ac.uk/resources/calendar/courseGuides/ST/2014_ST227.htm,Undergraduate
SO221 Researching London: An Introduction to Social Research Methods,SO221,Researching London: An Introduction to Social Research Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO221.htm,Undergraduate
MG315 Marketing Action Learning Project,MG315,Marketing Action Learning Project,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG315.htm,Undergraduate
MG305 Innovation and Technology Management,MG305,Innovation and Technology Management,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG305.htm,Undergraduate
EC331 Quantitative Economics Project,EC331,Quantitative Economics Project,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC331.htm,Undergraduate
MG209 E-business,MG209,E-business,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG209.htm,Undergraduate
LN210 German Language and Society 4 (proficiency),LN210,German Language and Society 4 (proficiency),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN210.htm,Undergraduate
EC307 Development Economics,EC307,Development Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC307.htm,Undergraduate
AN216 Cognition and Anthropology: Human Development in Cultural Environments,AN216,Cognition and Anthropology: Human Development in Cultural Environments,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN216.htm,Undergraduate
GY303 The Geography of Gender: Global Perspectives,GY303,The Geography of Gender: Global Perspectives,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY303.htm,Undergraduate
PH211 Philosophy of Economics,PH211,Philosophy of Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH211.htm,Undergraduate
LL203 Law of Business Associations,LL203,Law of Business Associations,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL203.htm,Undergraduate
LN101 Russian Language and Society 1 (beginner),LN101,Russian Language and Society 1 (beginner),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN101.htm,Undergraduate
PH213 Scientific Revolutions: Philosophical and Historical Issues,PH213,Scientific Revolutions: Philosophical and Historical Issues,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH213.htm,Undergraduate
LL221 Family Law,LL221,Family Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL221.htm,Undergraduate
LN122 Spanish Language and Society 2 (intermediate),LN122,Spanish Language and Society 2 (intermediate),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN122.htm,Undergraduate
MG211 Operational Research Methods,MG211,Operational Research Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG211.htm,Undergraduate
MA107 Quantitative Methods (Mathematics),MA107,Quantitative Methods (Mathematics),http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA107.htm,Undergraduate
GY305 Urban and Spatial Economic Analysis II,GY305,Urban and Spatial Economic Analysis II,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY305.htm,Undergraduate
"GV251 Government, Politics and Public Policy in the European Union",GV251,"Government, Politics and Public Policy in the European Union",http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV251.htm,Undergraduate
IR202.2 Contemporary Foreign Policy in Practice,IR202,2 Contemporary Foreign Policy in Practice,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR202.2.htm,Undergraduate
EC313 Industrial Economics,EC313,Industrial Economics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC313.htm,Undergraduate
"MG103 Management, Labour and Work",MG103,"Management, Labour and Work",http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG103.htm,Undergraduate
LL202 Commercial Contracts,LL202,Commercial Contracts,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL202.htm,Undergraduate
GV366 Political Economy of the Developing World,GV366,Political Economy of the Developing World,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV366.htm,Undergraduate
MG205 Learning from Quantitative Data,MG205,Learning from Quantitative Data,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG205.htm,Undergraduate
PH220 Scientific Method and Policy,PH220,Scientific Method and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH220.htm,Undergraduate
AN399 Ethnography as Research Method and Text,AN399,Ethnography as Research Method and Text,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN399.htm,Undergraduate
"MG206 Firms, Management and Competitive Advantage",MG206,"Firms, Management and Competitive Advantage",http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG206.htm,Undergraduate
LL295 Media Law,LL295,Media Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL295.htm,Undergraduate
PS102 Social Psychology,PS102,Social Psychology,http://www.lse.ac.uk/resources/calendar/courseGuides/PS/2014_PS102.htm,Undergraduate
MG210 Corporate Social Responsibility and International Labour Standards,MG210,Corporate Social Responsibility and International Labour Standards,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG210.htm,Undergraduate
LL201 Administrative Law,LL201,Administrative Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL201.htm,Undergraduate
LN250 English Literature and Society,LN250,English Literature and Society,http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN250.htm,Undergraduate
MA103 Introduction to Abstract Mathematics,MA103,Introduction to Abstract Mathematics,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA103.htm,Undergraduate
SA302 Assessing Social Progress,SA302,Assessing Social Progress,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA302.htm,Undergraduate
MG302 Topics in Management Research,MG302,Topics in Management Research,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG302.htm,Undergraduate
EC230 Economics in Public Policy,EC230,Economics in Public Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC230.htm,Undergraduate
GV100 Introduction to Political Theory,GV100,Introduction to Political Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV100.htm,Undergraduate
MA303 Chaos in Dynamical Systems,MA303,Chaos in Dynamical Systems,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA303.htm,Undergraduate
AN252 Anthropological Approaches to Value,AN252,Anthropological Approaches to Value,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN252.htm,Undergraduate
GV227 The Politics of Economic Policy,GV227,The Politics of Economic Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV227.htm,Undergraduate
AN231 The Anthropology of China,AN231,The Anthropology of China,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN231.htm,Undergraduate
SA104 Social Economics and Policy,SA104,Social Economics and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA104.htm,Undergraduate
AN223 The Anthropology of Southeast Asia,AN223,The Anthropology of Southeast Asia,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN223.htm,Undergraduate
HY226 The Great War 1914-1918,HY226,The Great War 1914-1918,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY226.htm,Undergraduate
SO201 Sociological Analysis,SO201,Sociological Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO201.htm,Undergraduate
GV308 Leadership in the Political World,GV308,Leadership in the Political World,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV308.htm,Undergraduate
IR308 Systemic Change in the 20th Century: Theories of the Cold War,IR308,Systemic Change in the 20th Century: Theories of the Cold War,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR308.htm,Undergraduate
AC211 Managerial Accounting,AC211,Managerial Accounting,http://www.lse.ac.uk/resources/calendar/courseGuides/AC/2014_AC211.htm,Undergraduate
SA223 Health and Social Care Policy,SA223,Health and Social Care Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA223.htm,Undergraduate
EC201 Microeconomic Principles I,EC201,Microeconomic Principles I,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC201.htm,Undergraduate
"SO210 Crime, Deviance and Control",SO210,"Crime, Deviance and Control",http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO210.htm,Undergraduate
AN237 The Anthropology of Development,AN237,The Anthropology of Development,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN237.htm,Undergraduate
SO302 Sociological Project,SO302,Sociological Project,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO302.htm,Undergraduate
AN269 The Anthropology of Amazonia,AN269,The Anthropology of Amazonia,http://www.lse.ac.uk/resources/calendar/courseGuides/AN/2014_AN269.htm,Undergraduate
"GI200 Gender, Politics and Civil Society",GI200,"Gender, Politics and Civil Society",http://www.lse.ac.uk/resources/calendar/courseGuides/GI/2014_GI200.htm,Undergraduate
HY241 What is History? Methods and Debates,HY241,What is History? Methods and Debates,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY241.htm,Undergraduate
MA211 Algebra and Number Theory,MA211,Algebra and Number Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA211.htm,Undergraduate
GV247 Theories and Problems of Nationalism,GV247,Theories and Problems of Nationalism,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV247.htm,Undergraduate
LL207 Civil Liberties and Human Rights,LL207,Civil Liberties and Human Rights,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL207.htm,Undergraduate
"EH308 Historical Economic Geography: Cities, Markets and Regions in the 19th and 20th Centuries",EH308,"Historical Economic Geography: Cities, Markets and Regions in the 19th and 20th Centuries",http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH308.htm,Undergraduate
IR316 United Nations,IR316,United Nations,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR316.htm,Undergraduate
LL257 Labour Law,LL257,Labour Law,http://www.lse.ac.uk/resources/calendar/courseGuides/LL/2014_LL257.htm,Undergraduate
GV248 Power and Politics in the Modern World: Comparative Perspectives,GV248,Power and Politics in the Modern World: Comparative Perspectives,http://www.lse.ac.uk/resources/calendar/courseGuides/GV/2014_GV248.htm,Undergraduate
SA101 Sociology and Social Policy,SA101,Sociology and Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA101.htm,Undergraduate
MG310 Risk and Decision Analysis for Management and Policy,MG310,Risk and Decision Analysis for Management and Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG310.htm,Undergraduate
MG303 Foreign Direct Investment and Emerging Markets,MG303,Foreign Direct Investment and Emerging Markets,http://www.lse.ac.uk/resources/calendar/courseGuides/MG/2014_MG303.htm,Undergraduate
MA212 Further Mathematical Methods,MA212,Further Mathematical Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA212.htm,Undergraduate
"SO230 Digital Technology, Speed and Culture",SO230,"Digital Technology, Speed and Culture",http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO230.htm,Undergraduate
MA317 Complex Analysis,MA317,Complex Analysis,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA317.htm,Undergraduate
SO102 Statistics in Society,SO102,Statistics in Society,http://www.lse.ac.uk/resources/calendar/courseGuides/SO/2014_SO102.htm,Undergraduate
GY350 Independent Research Project,GY350,Independent Research Project,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY350.htm,Undergraduate
HY113 From Empire to Independence: The Extra-European World in the Twentieth Century,HY113,From Empire to Independence: The Extra-European World in the Twentieth Century,http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY113.htm,Undergraduate
PH217 Set Theory and Further Logic,PH217,Set Theory and Further Logic,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH217.htm,Undergraduate
"FM300 Corporate Finance, Investments and Financial Markets",FM300,"Corporate Finance, Investments and Financial Markets",http://www.lse.ac.uk/resources/calendar/courseGuides/FM/2014_FM300.htm,Undergraduate
LN121 Spanish Language and Society 1 (beginner),LN121,Spanish Language and Society 1 (beginner),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN121.htm,Undergraduate
EC309 Econometric Theory,EC309,Econometric Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC309.htm,Undergraduate
"GY100 Environment, Economy and Society",GY100,"Environment, Economy and Society",http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY100.htm,Undergraduate
EC333 Problems of Applied Econometrics,EC333,Problems of Applied Econometrics,http://www.lse.ac.uk/resources/calendar/courseGuides/EC/2014_EC333.htm,Undergraduate
EH304 The Economic History of North America: from Colonial Times to the Cold War,EH304,The Economic History of North America: from Colonial Times to the Cold War,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH304.htm,Undergraduate
MA110 Basic Quantitative Methods,MA110,Basic Quantitative Methods,http://www.lse.ac.uk/resources/calendar/courseGuides/MA/2014_MA110.htm,Undergraduate
PH101 Logic,PH101,Logic,http://www.lse.ac.uk/resources/calendar/courseGuides/PH/2014_PH101.htm,Undergraduate
LN102 Russian Language and Society 2 (intermediate),LN102,Russian Language and Society 2 (intermediate),http://www.lse.ac.uk/resources/calendar/courseGuides/LN/2014_LN102.htm,Undergraduate
IR200 International Political Theory,IR200,International Political Theory,http://www.lse.ac.uk/resources/calendar/courseGuides/IR/2014_IR200.htm,Undergraduate
GY301 The Political Geography of Development and the South,GY301,The Political Geography of Development and the South,http://www.lse.ac.uk/resources/calendar/courseGuides/GY/2014_GY301.htm,Undergraduate
SA100 The Foundations of Social Policy,SA100,The Foundations of Social Policy,http://www.lse.ac.uk/resources/calendar/courseGuides/SA/2014_SA100.htm,Undergraduate
"HY118 Faith, Power and Revolution: Europe and the Wider World, c.1500-c.1800",HY118,"Faith, Power and Revolution: Europe and the Wider World, c.1500-c.1800",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY118.htm,Undergraduate
"HY321 The Struggle for the Persian Gulf, 1945-2003",HY321,"The Struggle for the Persian Gulf, 1945-2003",http://www.lse.ac.uk/resources/calendar/courseGuides/HY/2014_HY321.htm,Undergraduate
EH390 Dissertation in Economic or Social History,EH390,Dissertation in Economic or Social History,http://www.lse.ac.uk/resources/calendar/courseGuides/EH/2014_EH390.htm,Undergraduate
